"BehaviorSpace results (NetLogo 6.2.2)"
"./baby_2.nlogo"
"experiment_test"
"03/06/2022 23:25:17:674 -0800"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-16","16","-16","16"
"[run number]","ticks_stop","enable_conflict","A_number_citizens","conflict_count_per_cycle","enable_reproduce","A_tough_loose","b","B_tough_loose","B_number_citizens","[step]","count A_citizens","count B_citizens"
"3","300","true","150","2","true","0.5","0.23","0.3","150","12","150","150"
"6","300","true","150","4","true","0.3","0.23","0.3","250","9","112","237"
"7","300","true","150","4","true","0.5","0.23","0.3","150","12","150","150"
"1","300","true","150","2","true","0.3","0.23","0.3","150","15","135","82"
"2","300","true","150","2","true","0.3","0.23","0.3","250","8","150","250"
"5","300","true","150","4","true","0.3","0.23","0.3","150","14","135","82"
"3","300","true","150","2","true","0.5","0.23","0.3","150","13","150","150"
"1","300","true","150","2","true","0.3","0.23","0.3","150","16","135","82"
"4","300","true","150","2","true","0.5","0.23","0.3","250","9","150","250"
"8","300","true","150","4","true","0.5","0.23","0.3","250","9","150","250"
"5","300","true","150","4","true","0.3","0.23","0.3","150","15","128","61"
"7","300","true","150","4","true","0.5","0.23","0.3","150","13","82","135"
"6","300","true","150","4","true","0.3","0.23","0.3","250","10","112","237"
"1","300","true","150","2","true","0.3","0.23","0.3","150","17","135","82"
"5","300","true","150","4","true","0.3","0.23","0.3","150","16","128","61"
"3","300","true","150","2","true","0.5","0.23","0.3","150","14","150","150"
"2","300","true","150","2","true","0.3","0.23","0.3","250","9","150","250"
"1","300","true","150","2","true","0.3","0.23","0.3","150","18","135","82"
"7","300","true","150","4","true","0.5","0.23","0.3","150","14","82","135"
"5","300","true","150","4","true","0.3","0.23","0.3","150","17","128","61"
"8","300","true","150","4","true","0.5","0.23","0.3","250","10","150","250"
"4","300","true","150","2","true","0.5","0.23","0.3","250","10","150","250"
"3","300","true","150","2","true","0.5","0.23","0.3","150","15","150","150"
